Port-level Imports,,,,
Current date: 10/04/2024 4:34 PM (Eastern Daylight Time),,,,
Port,Commodity,Time,Country,Customs Value (Gen) ($US)
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2010,Vietnam,"1,257,394"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2011,Vietnam,"3,856,824"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2012,Vietnam,"4,050,486"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2013,Vietnam,"2,723,860"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2014,Vietnam,"6,222,451"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2015,Vietnam,"4,447,073"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2016,Vietnam,"3,937,537"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2017,Vietnam,"6,916,472"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2018,Vietnam,"4,392,395"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2019,Vietnam,"1,067,542"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2020,Vietnam,"3,146,000"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2021,Vietnam,"6,033,599"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2022,Vietnam,"6,474,946"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2023,Vietnam,"7,218,773"
"Seattle, WA (Port)","09 Coffee, Tea, Mate & Spices",2024 through July,Vietnam,"2,975,773"
"Seattle, WA (Port)",10 Cereals,2008,Vietnam,"40,065"
"Seattle, WA (Port)",10 Cereals,2010,Vietnam,"68,882"
"Seattle, WA (Port)",10 Cereals,2011,Vietnam,"46,130"
"Seattle, WA (Port)",10 Cereals,2012,Vietnam,"197,797"
"Seattle, WA (Port)",10 Cereals,2013,Vietnam,"102,981"
"Seattle, WA (Port)",10 Cereals,2014,Vietnam,"292,547"
"Seattle, WA (Port)",10 Cereals,2015,Vietnam,"228,040"
"Seattle, WA (Port)",10 Cereals,2016,Vietnam,"63,119"
"Seattle, WA (Port)",10 Cereals,2017,Vietnam,"70,541"
"Seattle, WA (Port)",10 Cereals,2018,Vietnam,"28,620"
"Seattle, WA (Port)",10 Cereals,2019,Vietnam,"31,240"
